restart,init_type,initial_energy,best_energy,final_energy,energy_improvement,accepted_moves,run_seconds,human_count,assignment_violations,overlap_violations,precedence_violations,feasible
0,greedy_feasible,201.44999999999993,49.399999999999324,49.39999999999933,152.0500000000006,2094,6.4845969676971436,4,0,0,0,True
1,random_one_start,325.9,50.89999999999995,50.89999999999995,275.0,2270,6.5987279415130615,4,0,0,0,True
2,random_one_start,259.20000000000005,50.09999999999985,50.09999999999985,209.1000000000002,2136,6.590612888336182,4,0,0,0,True
3,random_one_start,358.70000000000005,49.34999999999999,49.34999999999999,309.3500000000001,2161,6.545058965682983,4,0,0,0,True
4,random_one_start,285.70000000000005,50.35000000000008,50.350000000000115,235.34999999999997,2123,6.391204833984375,4,0,0,0,True
5,random_one_start,267.7,51.149999999999956,51.149999999999956,216.55000000000004,2110,6.3847949504852295,4,0,0,0,True
6,random_one_start,294.4,50.54999999999982,50.54999999999982,243.85000000000016,2075,6.488564968109131,4,0,0,0,True
7,random_one_start,319.1,50.749999999999915,50.749999999999915,268.35000000000014,2199,6.99761700630188,4,0,0,0,True
8,random_one_start,383.0,50.349999999999866,50.34999999999988,332.65000000000015,2126,6.925894737243652,4,0,0,0,True
9,random_one_start,352.90000000000003,50.40000000000033,50.40000000000033,302.4999999999997,2313,6.727730751037598,4,0,0,0,True
10,random_one_start,292.45,50.049999999999244,50.049999999999244,242.40000000000074,2083,6.793406009674072,4,0,0,0,True
11,random_one_start,259.09999999999997,50.64999999999946,50.64999999999946,208.4500000000005,2135,6.728327035903931,4,0,0,0,True
12,random_one_start,351.0,49.59999999999987,49.59999999999988,301.40000000000015,2240,6.703688144683838,4,0,0,0,True
13,random_one_start,265.2,50.49999999999939,50.49999999999939,214.7000000000006,2112,6.7026402950286865,4,0,0,0,True
14,random_one_start,414.65,50.19999999999916,50.19999999999916,364.45000000000084,2121,6.817816257476807,4,0,0,0,True
15,random_one_start,266.4,49.849999999999085,49.849999999999085,216.5500000000009,2167,6.736682176589966,4,0,0,0,True
16,random_one_start,353.5,48.95000000000014,48.95000000000014,304.54999999999984,2180,6.831153154373169,4,0,0,0,True
17,random_one_start,269.04999999999995,51.399999999998634,51.399999999998634,217.6500000000013,2145,6.463082790374756,4,0,0,0,True
18,random_one_start,286.25,48.60000000000024,48.60000000000025,237.64999999999975,2038,6.757846117019653,4,0,0,0,True
19,random_one_start,319.90000000000003,50.19999999999982,50.199999999999825,269.7000000000002,2119,6.534762859344482,4,0,0,0,True
20,random_one_start,386.6,49.79999999999993,49.79999999999993,336.80000000000007,2159,6.931425094604492,4,0,0,0,True
21,random_one_start,317.45000000000005,50.249999999999574,50.24999999999958,267.2000000000005,2118,6.5334460735321045,4,0,0,0,True
22,random_one_start,323.84999999999997,51.09999999999991,51.09999999999991,272.75000000000006,2157,6.752537250518799,4,0,0,0,True
23,random_one_start,363.5,51.74999999999998,51.749999999999986,311.75,2191,6.7642199993133545,4,0,0,0,True
24,random_one_start,382.3,50.74999999999972,50.74999999999972,331.5500000000003,2345,6.562165021896362,4,0,0,0,True
25,random_one_start,322.1,51.19999999999994,51.19999999999994,270.9000000000001,2180,6.624650001525879,4,0,0,0,True
26,random_one_start,309.8,50.15000000000003,50.15000000000003,259.65,2063,6.892136096954346,4,0,0,0,True
27,random_one_start,183.54999999999995,49.19999999999977,49.19999999999977,134.3500000000002,2147,6.471978187561035,4,0,0,0,True
28,random_one_start,314.2,50.89999999999965,50.89999999999965,263.30000000000035,2124,6.526846885681152,4,0,0,0,True
29,random_one_start,335.05,51.14999999999976,51.14999999999976,283.90000000000026,2050,6.3943870067596436,4,0,0,0,True
