operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,1,machine,0,2,2,62
1,0,1,0,machine,2,3,5,555
2,0,2,1,machine,5,4,9,1162
3,0,3,0,machine,10,2,12,1642
4,1,0,6,human,0,4,4,2549
5,1,1,2,machine,4,4,8,2853
6,1,2,2,machine,8,2,10,3396
7,1,3,2,machine,10,3,13,3949
8,2,0,5,human,0,5,5,4660
9,2,1,0,machine,5,2,7,4901
10,2,2,1,machine,9,3,12,5519
11,2,3,1,machine,12,4,16,6065
12,3,0,4,human,1,3,4,6777
13,3,1,4,human,4,4,8,7329
14,3,2,3,machine,8,4,12,7813
15,3,3,0,machine,12,2,14,8172
