restart,init_type,initial_energy,best_energy,final_energy,energy_improvement,accepted_moves,run_seconds,human_count,assignment_violations,overlap_violations,precedence_violations,feasible
0,greedy_feasible,201.44999999999993,50.349999999999746,50.349999999999746,151.1000000000002,1031,6.460389137268066,4,0,0,0,True
1,random_one_start,391.8,49.80000000000002,49.80000000000002,342.0,968,6.305213928222656,4,0,0,0,True
2,random_one_start,336.75,49.90000000000012,49.90000000000013,286.8499999999999,1004,6.369256973266602,4,0,0,0,True
3,random_one_start,324.8,49.54999999999957,49.54999999999957,275.25000000000045,969,6.671576976776123,4,0,0,0,True
4,random_one_start,289.9,49.74999999999978,49.74999999999978,240.1500000000002,1123,6.58539891242981,4,0,0,0,True
5,random_one_start,324.90000000000003,49.499999999999595,49.499999999999595,275.40000000000043,1030,6.4252989292144775,4,0,0,0,True
6,random_one_start,330.15,49.29999999999981,49.29999999999981,280.85000000000014,1036,6.322806119918823,4,0,0,0,True
7,random_one_start,353.25,49.700000000000024,49.700000000000024,303.54999999999995,952,6.382420063018799,4,0,0,0,True
8,random_one_start,269.6,49.04999999999983,49.04999999999983,220.55000000000018,1094,6.279936790466309,4,0,0,0,True
9,random_one_start,284.05,50.199999999999676,50.199999999999676,233.85000000000034,1056,6.362135171890259,4,0,0,0,True
10,random_one_start,356.75,49.60000000000008,49.60000000000009,307.1499999999999,1043,6.376540899276733,4,0,0,0,True
11,random_one_start,329.1,49.600000000000115,49.600000000000115,279.4999999999999,1081,6.311948776245117,4,0,0,0,True
12,random_one_start,353.95,49.799999999999635,49.79999999999964,304.1500000000004,1007,6.2792768478393555,4,0,0,0,True
13,random_one_start,255.54999999999995,48.9999999999998,48.9999999999998,206.55000000000015,1008,6.359774827957153,4,0,0,0,True
14,random_one_start,305.45000000000005,52.49999999999967,52.49999999999967,252.9500000000004,1059,6.331727743148804,4,0,0,0,True
15,random_one_start,208.15000000000003,51.49999999999977,51.49999999999979,156.65000000000026,1003,6.299962997436523,4,0,0,0,True
16,random_one_start,293.2,50.64999999999964,50.64999999999964,242.55000000000035,1058,6.350174903869629,4,0,0,0,True
17,random_one_start,384.0,51.100000000000364,51.100000000000364,332.89999999999964,1067,6.373215198516846,4,0,0,0,True
18,random_one_start,324.95000000000005,50.2499999999999,50.2499999999999,274.70000000000016,1082,6.311343193054199,4,0,0,0,True
19,random_one_start,227.89999999999998,51.749999999999915,51.74999999999993,176.15000000000006,1094,6.30507493019104,4,0,0,0,True
20,random_one_start,350.7,49.7500000000001,49.7500000000001,300.9499999999999,1014,7.175330877304077,4,0,0,0,True
21,random_one_start,286.4,49.599999999999866,49.599999999999866,236.80000000000013,1116,6.576824903488159,4,0,0,0,True
22,random_one_start,289.95,49.24999999999964,49.24999999999964,240.70000000000036,1083,6.822399139404297,4,0,0,0,True
23,random_one_start,289.75,50.99999999999979,50.99999999999979,238.75000000000023,950,6.7234461307525635,4,0,0,0,True
24,random_one_start,323.25,49.99999999999979,49.99999999999979,273.2500000000002,1092,6.821741104125977,4,0,0,0,True
25,random_one_start,422.9,50.299999999999955,50.299999999999955,372.6,1032,6.492531776428223,4,0,0,0,True
26,random_one_start,320.5999999999999,50.14999999999976,50.14999999999976,270.45000000000016,1062,6.391730070114136,4,0,0,0,True
27,random_one_start,304.29999999999995,49.94999999999999,49.94999999999999,254.34999999999997,1153,6.4197468757629395,4,0,0,0,True
28,random_one_start,310.45,49.89999999999995,49.89999999999995,260.55000000000007,1148,6.540281295776367,4,0,0,0,True
29,random_one_start,277.25,50.049999999999926,50.04999999999993,227.20000000000007,1021,6.520705699920654,4,0,0,0,True
30,random_one_start,256.75,50.400000000000155,50.400000000000155,206.34999999999985,1059,6.469227075576782,4,0,0,0,True
31,random_one_start,315.45000000000005,49.09999999999979,49.099999999999795,266.35000000000025,1209,6.37346887588501,4,0,0,0,True
32,random_one_start,439.15,49.899999999999835,49.899999999999835,389.2500000000001,954,6.500267028808594,4,0,0,0,True
